subject,verb,score,modality,test,trial_order,session,type,cloze,wmc,prod_pre,rec_pre
1,pet,0,FTF,priming1,12,session1,non-prime,40,74,0,6
1,organize,0,FTF,priming1,9,session1,prime,40,74,0,6
1,burn,0,FTF,priming1,10,session1,non-prime,40,74,0,6
1,stack,0,FTF,priming1,11,session1,prime,40,74,0,6
1,toast,0,FTF,priming1,13,session1,prime,40,74,0,6
1,need,0,FTF,priming1,14,session1,non-prime,40,74,0,6
1,cut,0,FTF,priming1,15,session1,prime,40,74,0,6
1,push,0,FTF,priming1,16,session1,non-prime,40,74,0,6
1,boil,0,FTF,priming1,17,session1,prime,40,74,0,6
1,read,0,FTF,priming1,18,session1,non-prime,40,74,0,6
1,store,0,FTF,priming1,19,session1,prime,40,74,0,6
1,send,0,FTF,priming1,20,session1,non-prime,40,74,0,6
1,watch,0,FTF,priming1,21,session1,prime,40,74,0,6
1,wear,0,FTF,priming1,22,session1,non-prime,40,74,0,6
1,drink,0,FTF,priming1,23,session1,prime,40,74,0,6
1,shake,0,FTF,priming1,24,session1,non-prime,40,74,0,6
1,pour,0,FTF,priming1,25,session1,prime,40,74,0,6
1,insert,0,FTF,priming1,26,session1,non-prime,40,74,0,6
1,measure,0,FTF,priming1,27,session1,prime,40,74,0,6
1,turn,0,FTF,priming1,28,session1,non-prime,40,74,0,6
1,mix,0,FTF,priming1,29,session1,prime,40,74,0,6
1,sprinkle,0,FTF,priming1,30,session1,non-prime,40,74,0,6
1,cook,0,FTF,priming1,31,session1,prime,40,74,0,6
1,show,0,FTF,priming1,32,session1,non-prime,40,74,0,6
1,put,0,FTF,priming1,33,session1,prime,40,74,0,6
1,swipe,0,FTF,priming1,34,session1,non-prime,40,74,0,6
1,wipe,0,FTF,priming1,35,session1,prime,40,74,0,6
1,keep,0,FTF,priming1,36,session1,non-prime,40,74,0,6
1,vacuum,0,FTF,priming2,1,session2,prime,40,74,0,6
1,bring,0,FTF,priming2,2,session2,non-prime,40,74,0,6
1,study,0,FTF,priming2,3,session2,prime,40,74,0,6
1,carry,0,FTF,priming2,4,session2,non-prime,40,74,0,6
1,perform,0,FTF,priming2,5,session2,prime,40,74,0,6
1,catch,0,FTF,priming2,6,session2,non-prime,40,74,0,6
1,print,0,FTF,priming2,7,session2,prime,40,74,0,6
1,polish,0,FTF,priming2,8,session2,non-prime,40,74,0,6
1,post,0,FTF,priming2,9,session2,prime,40,74,0,6
1,drive,0,FTF,priming2,10,session2,non-prime,40,74,0,6
1,clean,0,FTF,priming2,11,session2,prime,40,74,0,6
1,peel,0,FTF,priming2,12,session2,non-prime,40,74,0,6
1,choose,0,FTF,priming2,13,session2,prime,40,74,0,6
1,lift,0,FTF,priming2,14,session2,non-prime,40,74,0,6
1,bake,0,FTF,priming2,15,session2,prime,40,74,0,6
1,fly,0,FTF,priming2,16,session2,non-prime,40,74,0,6
1,wash,0,FTF,priming2,17,session2,prime,40,74,0,6
1,drink,0,FTF,priming2,18,session2,non-prime,40,74,0,6
1,type,0,FTF,priming2,19,session2,prime,40,74,0,6
1,decorate,0,FTF,priming2,20,session2,non-prime,40,74,0,6
1,pick,0,FTF,priming2,21,session2,prime,40,74,0,6
1,cross,0,FTF,priming2,22,session2,non-prime,40,74,0,6
1,staple,0,FTF,priming2,23,session2,prime,40,74,0,6
1,move,0,FTF,priming2,24,session2,non-prime,40,74,0,6
1,deposit,0,FTF,priming2,25,session2,prime,40,74,0,6
1,buy,0,FTF,priming1,4,session1,non-prime,40,74,0,6
1,select,0,FTF,priming1,5,session1,prime,40,74,0,6
1,use,0,FTF,priming1,6,session1,non-prime,40,74,0,6
1,rake,0,FTF,priming2,26,session2,non-prime,40,74,0,6
1,have,0,FTF,priming2,27,session2,prime,40,74,0,6
1,hit,0,FTF,priming2,28,session2,non-prime,40,74,0,6
1,raise,0,FTF,priming2,30,session2,non-prime,40,74,0,6
1,follow,0,FTF,priming2,32,session2,non-prime,40,74,0,6
1,ride,0,FTF,priming2,34,session2,non-prime,40,74,0,6
1,fill,0,FTF,priming2,35,session2,prime,40,74,0,6
1,pass,0,FTF,priming2,36,session2,non-prime,40,74,0,6
1,hang,0,FTF,priming1,1,session1,prime,40,74,0,6
1,grow,0,FTF,priming1,2,session1,non-prime,40,74,0,6
1,display,0,FTF,priming1,3,session1,prime,40,74,0,6
1,sing,0,FTF,priming1,7,session1,prime,40,74,0,6
1,brush,0,FTF,priming1,8,session1,non-prime,40,74,0,6
1,park,0,FTF,priming2,31,session2,prime,40,74,0,6
1,take,1,FTF,priming2,29,session2,prime,40,74,0,6
1,stretch,1,FTF,priming2,33,session2,prime,40,74,0,6
2,pet,0,FTF,priming1,12,session1,non-prime,28,71,1,5
2,need,0,FTF,priming1,14,session1,non-prime,28,71,1,5
2,push,0,FTF,priming1,16,session1,non-prime,28,71,1,5
2,turn,0,FTF,priming1,28,session1,non-prime,28,71,1,5
2,mix,0,FTF,priming1,29,session1,prime,28,71,1,5
2,keep,0,FTF,priming1,36,session1,non-prime,28,71,1,5
2,grow,0,FTF,priming1,2,session1,non-prime,28,71,1,5
2,display,0,FTF,priming1,3,session1,prime,28,71,1,5
2,buy,0,FTF,priming1,4,session1,non-prime,28,71,1,5
2,burn,0,FTF,priming1,10,session1,non-prime,28,71,1,5
2,toast,0,FTF,priming1,13,session1,prime,28,71,1,5
2,boil,0,FTF,priming1,17,session1,prime,28,71,1,5
2,measure,0,FTF,priming1,27,session1,prime,28,71,1,5
2,sprinkle,0,FTF,priming1,30,session1,non-prime,28,71,1,5
2,wipe,0,FTF,priming1,35,session1,prime,28,71,1,5
2,use,0,FTF,priming1,6,session1,non-prime,28,71,1,5
2,sing,0,FTF,priming1,7,session1,prime,28,71,1,5
2,brush,0,FTF,priming1,8,session1,non-prime,28,71,1,5
2,watch,0,FTF,priming1,21,session1,prime,28,71,1,5
2,wear,0,FTF,priming1,22,session1,non-prime,28,71,1,5
2,drink,0,FTF,priming1,23,session1,prime,28,71,1,5
2,shake,0,FTF,priming1,24,session1,non-prime,28,71,1,5
2,pour,0,FTF,priming1,25,session1,prime,28,71,1,5
2,insert,0,FTF,priming1,26,session1,non-prime,28,71,1,5
2,show,0,FTF,priming1,32,session1,non-prime,28,71,1,5
2,vacuum,0,FTF,priming2,1,session2,prime,28,71,1,5
2,bring,0,FTF,priming2,2,session2,non-prime,28,71,1,5
2,catch,0,FTF,priming2,6,session2,non-prime,28,71,1,5
2,polish,0,FTF,priming2,8,session2,non-prime,28,71,1,5
2,drive,0,FTF,priming2,10,session2,non-prime,28,71,1,5
2,peel,0,FTF,priming2,12,session2,non-prime,28,71,1,5
2,lift,0,FTF,priming2,14,session2,non-prime,28,71,1,5
2,fly,0,FTF,priming2,16,session2,non-prime,28,71,1,5
2,drink,0,FTF,priming2,18,session2,non-prime,28,71,1,5
2,cross,0,FTF,priming2,22,session2,non-prime,28,71,1,5
2,rake,0,FTF,priming2,26,session2,non-prime,28,71,1,5
2,hit,0,FTF,priming2,28,session2,non-prime,28,71,1,5
2,raise,0,FTF,priming2,30,session2,non-prime,28,71,1,5
2,follow,0,FTF,priming2,32,session2,non-prime,28,71,1,5
2,ride,0,FTF,priming2,34,session2,non-prime,28,71,1,5
2,pass,0,FTF,priming2,36,session2,non-prime,28,71,1,5
2,organize,0,FTF,priming1,9,session1,prime,28,71,1,5
2,cut,0,FTF,priming1,15,session1,prime,28,71,1,5
2,cook,0,FTF,priming1,31,session1,prime,28,71,1,5
2,clean,0,FTF,priming2,11,session2,prime,28,71,1,5
2,wash,0,FTF,priming2,17,session2,prime,28,71,1,5
2,type,0,FTF,priming2,19,session2,prime,28,71,1,5
2,decorate,0,FTF,priming2,20,session2,non-prime,28,71,1,5
2,move,0,FTF,priming2,24,session2,non-prime,28,71,1,5
2,choose,1,FTF,priming2,13,session2,prime,28,71,1,5
2,take,1,FTF,priming2,29,session2,prime,28,71,1,5
2,hang,1,FTF,priming1,1,session1,prime,28,71,1,5
2,select,1,FTF,priming1,5,session1,prime,28,71,1,5
2,stack,1,FTF,priming1,11,session1,prime,28,71,1,5
