subject,verb,score,binary_score,new_score,mod_score,rescale_score,priming_amount,group,modality,condition,test,trial_order,test_order,rec_pre,typingSpeed,cloze,WMC1,WMC2,rec_pre_1_2
30,lose,0,0,0,0,1,0,control,FTF,controlFTF,prod1,5,a_pre,6,22.96,27,31,63,6
32,record,0,0,0,0,1,0,control,FTF,controlFTF,prod3,2,post1,3,35.98,31,23,50,3
32,organize,0,0,0,0,1,0,control,FTF,controlFTF,prod3,3,post1,3,35.98,31,23,50,3
32,display,0,0,0,0,1,0,control,FTF,controlFTF,prod3,4,post1,3,35.98,31,23,50,3
32,wash,0,0,0,0,1,0,control,FTF,controlFTF,prod3,5,post1,3,35.98,31,23,50,3
32,pump,0,0,0,0,1,0,control,FTF,controlFTF,prod3,6,post1,3,35.98,31,23,50,3
32,perform,0,0,0,0,1,0,control,FTF,controlFTF,prod3,7,post1,3,35.98,31,23,50,3
32,stack,0,0,0,0,1,0,control,FTF,controlFTF,prod3,8,post1,3,35.98,31,23,50,3
32,measure,0,0,0,0,1,0,control,FTF,controlFTF,prod3,9,post1,3,35.98,31,23,50,3
32,pour,0,0,0,0,1,0,control,FTF,controlFTF,prod3,10,post1,3,35.98,31,23,50,3
32,have,0,0,0,0,1,0,control,FTF,controlFTF,prod3,11,post1,3,35.98,31,23,50,3
32,wipe,0,0,0,0,1,0,control,FTF,controlFTF,prod3,12,post1,3,35.98,31,23,50,3
32,set,0,0,0,0,1,0,control,FTF,controlFTF,prod2,1,post2,3,35.98,31,23,50,3
32,store,0,0,0,0,1,0,control,FTF,controlFTF,prod2,8,post2,3,35.98,31,23,50,3
32,boil,0,0,0,0,1,0,control,FTF,controlFTF,prod2,9,post2,3,35.98,31,23,50,3
34,cut,0,0,0,0,1,0,control,CMC,controlCMC,prod2,7,a_pre,11,57.48,25,29,52,16
34,store,0,0,0,0,1,0,control,CMC,controlCMC,prod2,8,a_pre,11,57.48,25,29,52,16
34,boil,0,0,0,0,1,0,control,CMC,controlCMC,prod2,9,a_pre,11,57.48,25,29,52,16
34,vacuum,0,0,0,0,1,0,control,CMC,controlCMC,prod2,10,a_pre,11,57.48,25,29,52,16
34,scrub,0,0,0,0,1,0,control,CMC,controlCMC,prod2,11,a_pre,11,57.48,25,29,52,16
34,drink,0,0,0,0,1,0,control,CMC,controlCMC,prod2,12,a_pre,11,57.48,25,29,52,16
35,eat,0,0,0,0,1,0,control,FTF,controlFTF,prod3,1,a_pre,6,35.12,27,38,64,6
35,record,0,0,0,0,1,0,control,FTF,controlFTF,prod3,2,a_pre,6,35.12,27,38,64,6
35,organize,0,0,0,0,1,0,control,FTF,controlFTF,prod3,3,a_pre,6,35.12,27,38,64,6
35,display,0,0,0,0,1,0,control,FTF,controlFTF,prod3,4,a_pre,6,35.12,27,38,64,6
35,wash,0,0,0,0,1,0,control,FTF,controlFTF,prod3,5,a_pre,6,35.12,27,38,64,6
35,pump,0,0,0,0,1,0,control,FTF,controlFTF,prod3,6,a_pre,6,35.12,27,38,64,6
35,perform,0,0,0,0,1,0,control,FTF,controlFTF,prod3,7,a_pre,6,35.12,27,38,64,6
35,stack,0,0,0,0,1,0,control,FTF,controlFTF,prod3,8,a_pre,6,35.12,27,38,64,6
35,measure,0,0,0,0,1,0,control,FTF,controlFTF,prod3,9,a_pre,6,35.12,27,38,64,6
35,pour,0,0,0,0,1,0,control,FTF,controlFTF,prod3,10,a_pre,6,35.12,27,38,64,6
35,have,0,0,0,0,1,0,control,FTF,controlFTF,prod3,11,a_pre,6,35.12,27,38,64,6
35,wipe,0,0,0,0,1,0,control,FTF,controlFTF,prod3,12,a_pre,6,35.12,27,38,64,6
35,set,0,0,0,0,1,0,control,FTF,controlFTF,prod2,1,post2,6,35.12,27,38,64,6
35,select,0,0,0,0,1,0,control,FTF,controlFTF,prod2,2,post2,6,35.12,27,38,64,6
35,mount,0,0,0,0,1,0,control,FTF,controlFTF,prod2,3,post2,6,35.12,27,38,64,6
35,study,0,0,0,0,1,0,control,FTF,controlFTF,prod2,4,post2,6,35.12,27,38,64,6
35,hear,0,0,0,0,1,0,control,FTF,controlFTF,prod2,5,post2,6,35.12,27,38,64,6
35,sing,0,0,0,0,1,0,control,FTF,controlFTF,prod2,6,post2,6,35.12,27,38,64,6
35,cut,0,0,0,0,1,0,control,FTF,controlFTF,prod2,7,post2,6,35.12,27,38,64,6
35,store,0,0,0,0,1,0,control,FTF,controlFTF,prod2,8,post2,6,35.12,27,38,64,6
35,boil,0,0,0,0,1,0,control,FTF,controlFTF,prod2,9,post2,6,35.12,27,38,64,6
35,vacuum,0,0,0,0,1,0,control,FTF,controlFTF,prod2,10,post2,6,35.12,27,38,64,6
35,scrub,0,0,0,0,1,0,control,FTF,controlFTF,prod2,11,post2,6,35.12,27,38,64,6
35,drink,0,0,0,0,1,0,control,FTF,controlFTF,prod2,12,post2,6,35.12,27,38,64,6
36,drink,0,0,0,0,1,0,control,CMC,controlCMC,prod2,12,post2,12,27.4,18,34,68,18
37,eat,0,0,0,0,1,0,control,FTF,controlFTF,prod3,1,a_pre,6,45.03,26,75,94,7
37,organize,0,0,0,0,1,0,control,FTF,controlFTF,prod3,3,a_pre,6,45.03,26,75,94,7
42,eat,0,0,0,0,1,0,control,FTF,controlFTF,prod3,1,a_pre,6,15.7,25,15,41,6
43,mount,0,0,0,0,1,0,control,CMC,controlCMC,prod2,3,a_pre,9,30.85,28,45,73,12
