subject,verb,score,binary_score,Modality,test,trial_order,Session,Type,typingSpeed,Cloze,WMC,rec_pre,prod_pre,rec_pre_1_2
1,pet,0,0,FTF,priming1,12,session1,non-prime,45.25,40,74,6,0,6
1,organize,1,0,FTF,priming1,9,session1,prime,45.25,40,74,6,0,6
1,burn,1,0,FTF,priming1,10,session1,non-prime,45.25,40,74,6,0,6
1,stack,1,0,FTF,priming1,11,session1,prime,45.25,40,74,6,0,6
1,toast,1,0,FTF,priming1,13,session1,prime,45.25,40,74,6,0,6
1,need,1,0,FTF,priming1,14,session1,non-prime,45.25,40,74,6,0,6
1,cut,1,0,FTF,priming1,15,session1,prime,45.25,40,74,6,0,6
1,push,1,0,FTF,priming1,16,session1,non-prime,45.25,40,74,6,0,6
1,boil,1,0,FTF,priming1,17,session1,prime,45.25,40,74,6,0,6
1,read,1,0,FTF,priming1,18,session1,non-prime,45.25,40,74,6,0,6
1,store,1,0,FTF,priming1,19,session1,prime,45.25,40,74,6,0,6
1,send,1,0,FTF,priming1,20,session1,non-prime,45.25,40,74,6,0,6
1,watch,1,0,FTF,priming1,21,session1,prime,45.25,40,74,6,0,6
1,wear,1,0,FTF,priming1,22,session1,non-prime,45.25,40,74,6,0,6
1,drink,1,0,FTF,priming1,23,session1,prime,45.25,40,74,6,0,6
1,shake,1,0,FTF,priming1,24,session1,non-prime,45.25,40,74,6,0,6
1,pour,1,0,FTF,priming1,25,session1,prime,45.25,40,74,6,0,6
1,insert,1,0,FTF,priming1,26,session1,non-prime,45.25,40,74,6,0,6
1,measure,1,0,FTF,priming1,27,session1,prime,45.25,40,74,6,0,6
1,turn,1,0,FTF,priming1,28,session1,non-prime,45.25,40,74,6,0,6
1,mix,1,0,FTF,priming1,29,session1,prime,45.25,40,74,6,0,6
1,sprinkle,1,0,FTF,priming1,30,session1,non-prime,45.25,40,74,6,0,6
1,cook,1,0,FTF,priming1,31,session1,prime,45.25,40,74,6,0,6
1,show,1,0,FTF,priming1,32,session1,non-prime,45.25,40,74,6,0,6
